iter	Passed	Remaining
239	1229	3894
240	1231	3879
241	1276	3997
242	1276	3977
243	1277	3957
244	1277	3937
245	1278	3917
246	1278	3897
247	1279	3878
248	1279	3858
249	1328	3984
250	1328	3964
251	1329	3945
252	1338	3951
253	1338	3931
254	1339	3912
255	1340	3894
256	1340	3875
257	1340	3856
258	1341	3837
259	1341	3818
260	1342	3800
261	1342	3781
262	1343	3763
263	1432	3994
264	1433	3975
265	1434	3958
266	1434	3939
267	1435	3920
268	1435	3902
269	1436	3883
270	1437	3866
271	1437	3847
272	1438	3830
273	1438	3812
274	1473	3885
275	1474	3868
276	1475	3851
277	1476	3835
278	1478	3819
279	1478	3801
280	1479	3786
281	1480	3769
282	1481	3753
283	1482	3738
284	1513	3796
285	1515	3784
286	1516	3767
287	1517	3752
288	1519	3737
289	1519	3720
290	1520	3703
291	1521	3688
292	1521	3671
293	1523	3658
294	1525	3646
295	1626	3868
296	1628	3854
297	1630	3841
298	1631	3824
299	1631	3806
300	1631	3789
301	1632	3772
302	1632	3756
303	1633	3739
304	1633	3722
305	1634	3706
306	1634	3689
307	1634	3673
308	1635	3657
309	1635	3641
310	1683	3730
311	1684	3715
312	1685	3699
313	1685	3683
314	1686	3666
315	1686	3650
316	1687	3635
317	1687	3619
318	1687	3603
319	1688	3587
320	1688	3572
321	1689	3556
322	1689	3541
323	1690	3526
324	1690	3511
325	1691	3496
326	1691	3481
327	1739	3564
328	1740	3549
329	1741	3536
330	1742	3521
331	1742	3506
332	1747	3500
333	1748	3486
334	1748	3471
335	1749	3456
336	1749	3442
337	1750	3427
338	1750	3413
339	1751	3399
340	1757	3395
341	1757	3381
342	1843	3531
343	1844	3516
344	1844	3501
345	1845	3487
346	1845	3473
347	1846	3458
348	1847	3445
349	1848	3433
350	1849	3418
351	1849	3404
352	1904	3491
353	1905	3476
354	1905	3462
355	1906	3448
356	1906	3434
357	1907	3420
358	1907	3406
359	1909	3394
360	1910	3380
361	1910	3366
362	1953	3428
363	1953	3414
364	1954	3400
365	1954	3386
366	1955	3372
367	1955	3358
368	1955	3344
369	1956	3330
370	1956	3317
371	1964	3316
372	1965	3303
373	1986	3325
374	1987	3312
375	1987	3298
376	1988	3285
377	1988	3272
378	1991	3262
379	2031	3314
380	2032	3301
381	2032	3288
382	2033	3275
383	2033	3262
384	2033	3249
385	2034	3236
386	2034	3223
387	2035	3210
388	2035	3197
389	2036	3184
390	2109	3286
391	2110	3273
392	2110	3260
393	2111	3247
394	2112	3235
395	2112	3222
396	2113	3209
397	2114	3198
398	2114	3185
399	2144	3216
400	2146	3205
401	2146	3193
402	2148	3183
403	2149	3171
404	2152	3161
405	2152	3149
406	2153	3137
407	2154	3125
408	2208	3191
409	2209	3179
410	2210	3167
411	2210	3154
412	2211	3142
413	2212	3131
414	2213	3119
415	2213	3107
416	2214	3095
417	2214	3083
418	2235	3099
419	2235	3087
420	2236	3075
421	2236	3063
422	2237	3052
423	2238	3040
424	2238	3028
425	2276	3066
426	2276	3055
427	2278	3044
428	2279	3034
429	2279	3022
430	2280	3010
431	2281	3000
432	2282	2988
433	2282	2976
434	2282	2964
435	2282	2953
436	2283	2941
437	2283	2930
438	2284	2919
439	2284	2907
440	2285	2896
441	2285	2885
442	2286	2874
443	2286	2863
444	2393	2985
445	2394	2973
446	2394	2962
447	2515	3099
448	2516	3087
449	2516	3076
450	2517	3064
451	2517	3052
452	2518	3040
453	2519	3029
454	2520	3018
455	2520	3007
456	2521	2995
457	2521	2984
458	2536	2989
459	2536	2978
460	2537	2966
461	2537	2955
462	2538	2944
463	2538	2932
464	2539	2921
465	2540	2910
466	2543	2902
467	2544	2892
468	2623	2970
469	2624	2959
470	2625	2949
471	2626	2938
472	2638	2939
473	2639	2928
474	2639	2917
475	2640	2906
476	2640	2895
477	2641	2884
478	2657	2890
479	2657	2879
480	2658	2868
481	2659	2857
482	2659	2846
483	2660	2835
484	2660	2825
485	2661	2814
486	2661	2803
487	2662	2793
488	2662	2782
489	2662	2771
490	2663	2760
491	2663	2750
492	2664	2740
493	2666	2731
494	2668	2722
495	2668	2711
496	2668	2701
497	2670	2692
498	2682	2692
499	2682	2682
500	2684	2673
501	2685	2664
502	2686	2654
503	2687	2644
504	2688	2635
505	2689	2625
506	2689	2615
507	2691	2606
508	2692	2597
509	2694	2588
510	2695	2579
511	2698	2572
512	2699	2562
513	2700	2552
514	2700	2543
515	2700	2533
516	2701	2524
517	2702	2514
518	2704	2506
519	2704	2496
520	2705	2487
521	2705	2477
522	2706	2468
523	2722	2473
524	2723	2464
525	2724	2455
526	2725	2446
527	2727	2437
528	2728	2429
529	2730	2421
530	2731	2412
531	2733	2404
532	2733	2395
533	2735	2386
534	2735	2377
535	2736	2368
536	2736	2359
537	2737	2350
538	2737	2341
539	2738	2332
540	2808	2382
541	2808	2373
542	2809	2364
543	2809	2355
544	2810	2346
545	2811	2337
546	2855	2365
547	2856	2355
548	2856	2346
549	2857	2337
550	2857	2328
551	2858	2319
552	2864	2315
553	2865	2306
554	2866	2298
555	2866	2289
556	2868	2281
557	2868	2272
558	2869	2263
559	2869	2254
560	2870	2246
561	2871	2237
562	2871	2228
563	2872	2220
564	2901	2234
565	2902	2225
566	2904	2217
567	2905	2209
568	2906	2201
569	2906	2192
570	2908	2184
571	2908	2176
572	2909	2167
573	2909	2159
574	2926	2163
575	2927	2154
576	2927	2146
577	2928	2138
578	2929	2130
579	2940	2129
580	2941	2121
581	2941	2112
582	2941	2104
583	2942	2095
584	2942	2087
585	2943	2079
586	2944	2071
587	2944	2063
588	2945	2055
589	2995	2081
590	2997	2074
591	2998	2066
592	2998	2058
593	3003	2052
594	3004	2045
595	3005	2037
596	3005	2029
597	3029	2036
598	3029	2028
599	3030	2020
600	3031	2012
601	3031	2004
602	3032	1996
603	3032	1988
604	3033	1980
605	3038	1975
606	3039	1967
607	3040	1960
608	3040	1952
609	3043	1945
610	3044	1938
611	3054	1936
612	3056	1929
613	3056	1921
614	3057	1913
615	3057	1905
616	3058	1898
617	3058	1890
618	3059	1882
619	3059	1875
620	3059	1867
621	3060	1860
622	3064	1854
623	3064	1846
624	3109	1865
625	3109	1857
626	3110	1850
627	3117	1846
628	3118	1839
629	3120	1832
630	3120	1824
631	3121	1817
632	3121	1809
633	3122	1802
634	3122	1794
635	3122	1787
636	3123	1779
637	3123	1772
638	3123	1764
639	3124	1757
640	3124	1749
641	3124	1742
642	3157	1752
643	3159	1746
644	3163	1741
645	3166	1735
646	3170	1729
647	3170	1722
648	3171	1715
649	3171	1707
650	3171	1700
651	3172	1693
652	3189	1694
653	3211	1699
654	3217	1694
655	3232	1695
656	3245	1694
657	3246	1687
658	3247	1680
659	3248	1673
660	3249	1666
661	3249	1659
662	3250	1652
663	3250	1644
664	3251	1637
665	3251	1630
666	3252	1623
667	3252	1616
668	3288	1627
669	3290	1620
670	3290	1613
671	3291	1606
672	3291	1599
673	3291	1592
674	3292	1585
675	3292	1578
676	3292	1570
677	3293	1563
678	3295	1557
679	3298	1552
680	3302	1546
681	3304	1540
682	3306	1534
683	3307	1527
684	3308	1521
685	3311	1515
686	3311	1508
687	3312	1501
688	3312	1495
689	3376	1516
690	3376	1509
691	3376	1502
692	3380	1497
693	3382	1491
694	3383	1484
695	3385	1478
696	3387	1472
697	3388	1466
698	3407	1467
699	3408	1460
700	3411	1455
701	3412	1448
702	3415	1443
703	3416	1436
704	3417	1429
705	3419	1424
706	3421	1418
707	3422	1411
708	3443	1413
709	3444	1406
710	3445	1400
711	3445	1393
712	3446	1387
713	3446	1380
714	3446	1373
715	3447	1367
716	3447	1360
717	3447	1354
718	3448	1347
719	3448	1341
720	3448	1334
721	3449	1328
722	3449	1321
723	3449	1315
724	3451	1309
725	3460	1306
726	3461	1299
727	3461	1293
728	3461	1286
729	3462	1280
730	3462	1274
731	3462	1267
732	3463	1261
733	3463	1255
734	3464	1248
735	3464	1242
736	3465	1236
737	3465	1230
738	3467	1224
739	3468	1218
740	3468	1212
741	3469	1206
742	3469	1200
743	3470	1193
744	3470	1187
745	3470	1181
746	3471	1175
747	3471	1169
748	3472	1163
749	3472	1157
750	3473	1151
751	3474	1145
752	3475	1139
753	3475	1134
754	3476	1128
755	3477	1122
756	3477	1116
757	3478	1110
758	3478	1104
759	3479	1098
760	3479	1092
761	3479	1086
762	3480	1080
763	3480	1075
764	3481	1069
765	3481	1063
766	3481	1057
767	3482	1051
768	3482	1046
769	3482	1040
770	3483	1034
771	3483	1028
772	3484	1023
773	3485	1017
774	3486	1012
775	3486	1006
776	3494	1002
777	3495	997
778	3495	991
779	3496	986
780	3496	980
781	3497	974
782	3497	969
783	3498	963
784	3498	958
785	3499	952
786	3499	947
787	3500	941
788	3502	936
789	3518	935
790	3518	929
791	3520	924
792	3521	919
793	3521	913
794	3522	908
795	3534	905
796	3535	900
797	3536	895
798	3536	889
799	3547	886
800	3549	881
801	3549	876
802	3550	870
803	3550	865
804	3551	860
805	3552	854
806	3552	849
807	3553	844
808	3553	839
809	3554	833
810	3554	828
811	3555	823
812	3556	818
813	3557	812
814	3566	809
815	3566	804
816	3567	799
817	3568	794
818	3569	788
819	3569	783
820	3570	778
821	3570	773
822	3571	768
823	3589	766
824	3589	761
825	3590	756
826	3590	751
827	3591	745
828	3592	740
829	3592	735
830	3593	730
831	3593	725
832	3594	720
833	3594	715
834	3595	710
835	3596	705
836	3597	700
837	3597	695
838	3598	690
839	3612	688
840	3612	682
841	3613	678
842	3614	673
843	3614	668
844	3615	663
845	3617	658
846	3618	653
847	3618	648
848	3619	643
849	3620	638
850	3621	634
851	3621	629
852	3622	624
853	3623	619
854	3624	614
855	3642	612
856	3642	607
857	3644	603
858	3644	598
859	3644	593
860	3645	588
861	3646	583
862	3646	578
863	3647	574
864	3647	569
865	3648	564
866	3649	559
867	3650	555
868	3651	550
869	3653	545
870	3653	541
871	3654	536
872	3654	531
873	3655	526
874	3655	522
875	3655	517
876	3656	512
877	3656	508
878	3656	503
879	3657	498
880	3657	494
881	3657	489
882	3658	484
883	3658	480
884	3658	475
885	3659	470
886	3659	466
887	3660	461
888	3660	457
889	3660	452
890	3660	447
891	3661	443
892	3661	438
893	3661	434
894	3662	429
895	3662	425
896	3662	420
897	3662	416
898	3663	411
899	3663	407
900	3663	402
901	3664	398
902	3664	393
903	3664	389
904	3664	384
905	3665	380
906	3665	375
907	3665	371
908	3666	367
909	3666	362
910	3666	358
911	3666	353
912	3667	349
913	3667	345
914	3667	340
915	3668	336
916	3668	332
917	3668	327
918	3668	323
919	3669	319
920	3669	314
921	3669	310
922	3670	306
923	3670	301
924	3670	297
925	3671	293
926	3671	289
927	3671	284
928	3672	280
929	3672	276
930	3672	272
931	3672	267
932	3673	263
933	3673	259
934	3673	255
935	3674	251
936	3674	247
937	3675	242
938	3675	238
939	3675	234
940	3676	230
941	3676	226
942	3676	222
943	3676	218
944	3677	214
945	3677	209
946	3677	205
947	3678	201
948	3678	197
949	3678	193
950	3678	189
951	3679	185
952	3679	181
953	3679	177
954	3680	173
955	3680	169
956	3680	165
957	3681	161
958	3681	157
959	3681	153
960	3681	149
961	3682	145
962	3682	141
963	3682	137
964	3683	133
965	3683	129
966	3683	125
967	3684	121
968	3689	118
969	3690	114
970	3691	110
971	3691	106
972	3691	102
973	3691	98
974	3692	94
975	3692	90
976	3692	86
977	3693	83
978	3693	79
979	3693	75
980	3694	71
981	3694	67
982	3694	63
983	3694	60
984	3695	56
985	3695	52
986	3695	48
987	3696	44
988	3696	41
989	3696	37
990	3697	33
991	3697	29
992	3697	26
993	3698	22
994	3698	18
995	3698	14
996	3698	11
997	3699	7
998	3699	3
999	3699	0
