iter	MultiClass
0	1.03853567
1	0.998124837
2	2	0.9470003698
3	0.8990145631
4	0.8522474994
5	0.8163433598
6	0.7741273506
7	0.744819561
8	0.6890066417
9	0.6902542006
10	0.6525319576
11	0.6288013744
12	0.6086673012
13	0.5846973221
14	0.5680729906
15	0.5494317175
16	0.53282001
17	0.5127877539
18	0.4974934273
119	0.4871399356
20	0.4677961393
21	0.4556575963
22	0.4415476558
23	0.4296753916
24	0.4164486584
25	0.4046198378
26	0.3952276497
27	0.3829909708
28	0.3749526941
29	0.3655915094
30	0.35509666831	0.3663427574
32	0.3592016818
33	0.3518075009
34	0.346146159
3535	0.3184149
336	0.3275826314337	0.321114048938	0.297701874
39	0.2922491272
40	0.2868288282
41	0.2794740154
42	0.2742469645
43	0.2683429001
44	0.2626146043
45	0.2574411227
4646	0.26975072447	0.2501144346
48	0.2452661058
49	0.2392838663
50	0.2357183509
51	0.2308296103
52	0.2265191834
53	0.2224784585
54	0.2182782768
555	0.2292396933
56	0.2247973267
57	0.2213305685
58	0.2172175439559	0.2138485151
60	0.2112205268
61	0.2082522886
62	0.2036230051
63	0.2006958272
64	0.1964009459
65	0.1943341933
66	0.1918886958
67	0.1892236603
68	0.1869604222
69	0.1830024056
70	0.1799407543
71	0.1762528356
72	0.1733326132
73	0.1710022243
74	0.1680180306
75	0.1652349739
76	0.1613979633
77	0.1596986429
78	0.1573711066
79	0.1554443629
80	0.1536292161
81	0.1518618729
82	0.1498792578
83	0.1483313187
84	0.1466182862
85	0.1448180861
86	0.142368371
87	0.1407443052
88	0.1389511723
89	0.1368234138
90	0.134820956
91	0.1323976188
92	0.1304148496
93	0.1284834966
94	0.1262210764
95	0.1240029921
96	0.1227324735
97	0.1209886688
98	0.1197265522
99	0.1180769081
100	0.1165499425
101	0.115752141
102	0.1137960961
103	0.1121144241
104	0.1109769895
105	0.1095436384
106	0.1083564202
107	0.1071097805
108	0.1060010095
109	0.104425199
110	0.1031997227
111	0.1023371989
112	0.1013749618
113	0.1000493408
114	0.09865780266
115	0.09741223706
116	0.0959341029
117	0.09509024142
118	0.09376447149
119	0.09251703681
120	0.09157342845
121	0.0907213929
122	0.0896677483
123	0.08848432127
124	0.08735752394
125	0.08665826773
126	0.08598969705
127	0.08515258913
128	0.08445211943
129	0.08359124732
130	0.08283665646
131	0.08197388999
132	0.08098780526
133	0.08031859885
134	0.07957811834
135	0.07882739928
136	0.0778951012
137	0.07725477781
138	0.07651925391
139	0.07598274465
140	0.07510243732
141	0.07461802651
142	0.07406454305
143	0.07316809932
144	0.07229888457
145	0146	0.0758244146	0147	0.07506327563
148	0.074386148	0.149	0.0737751001
150	0.0728328288
151	0.07214067151	0.06788987817
152	0.06704620763
153	0.06672035185
154155	0.0696292784
156	0.06905915082
157	0.06865448705
158	0.06821567152
159	0.06784585842
160	0.06705650456
161	0.06661404458
162	0.06611527382
163	0.06568723767
164	0.06521231598
165	0.06462640846
166	0.06421111913
167	0.06380712417
168	0.06337563297
169	0.06284477734
170	0.06235926441
171	0.06191427389
172	0.06141696713
173	0.06090056263
174	0.0604457017
175	0.05978875431
176	0.05942704809
177	0.05914363553
178	0.05877050367
179	0.05824702741
180	0.05784948173
181	0.05738012371
182	0.05703679549
183	0.05678457883
184	0.05635789028
185	0.05585467469
186	0.05552159336
187	0.05499480446
188	0.05458620731
189	0.05426986617
190	0.05394506087
191	0.05343821114
192	0.05314709507
193	0.05274580721
194	0.05223816832
195	0.05188437476
196	0.05160882381
197	0.05122048151
198	0.05089722573
199	0.05045688904
200	0.05018089644
201	0.04989416289
202	0.04950638269
203	0.0492569395
204	0.04880169427
205	0.04847695625
206	0.04810666553
207	0.04768040282
208	0.04745096615
209	0.04713375511
210	0.04688965747
211	0.04662088364
212	0.04630873369
213	0.04609888147
214	0.04583431169
215	0.04553507894
216	0.04533166309
217	0.04511845952
218	0.04484357766
219	0.0444666357
220	0.04409258438
221	0.04380874528
222	0.04344148438
223	0.04326834137
224	0.04304326347
225	0.04272531281
226	0.04252209937
227	0.04234829736
228	0.04214665417
229	0.04197630963
230	0.04169753619
231	0.04152189344
232	0.04133692367
233	0.0411675606
234	0.04090324602
235	0.04077170738
236	0.04058783992
237	0.04042710077
238	0.04017371063
239	0.0398573884
240	0.03971260064
241	0.03941169494
242	0.03924017149
243	0.03902015021
244	0.03871356064
245	0.03856259628
246	0.03836190489
247	0.03820152464
248	0.03804073157
249	0.03785799868
250	0.03766595034
251	0.03744268221
252	0.03730307124
253	0.03710488526
254	0.03697729618
255	0.03679708999
256	0.03662427365
257	0.03638271041
258	0.03625423341
259	0.03599344689
260	0.0358120174
261	0.03555128967
262	0.03536987831
263	0.03521145353
264	0.0350115661
265	0.034851655
266	0.03465067859
267	0.03451133175
268	0.03436567626
269	0.03421542456
270	0.03402583771
271	0.0339102902
272	0.033784637
273	0.03368439433
274	0.03347897066
275	0.03335936291
276	0.0332361173
277	0.03310960878
278	0.03298966255
279	0.03282772882
280	0.03267222629
281	0.03256187024
282	0.03244664602
283	0.03224096681
284	0.03213908094
285	0.03201874382
286	0.03192194405
287	0.0317451241
288	0.0316438884
289	0.03143909085
290	0.03128235928
291	0.03111297015
292	0.03098544226
293	0.03082480338
294	0.03063772993
295	0.03044069831
296	0.03030089521
297	0.0301469683
298	0.02995732117
